time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T12:29:54.600Z,37.8033333,-113.0308333,3.13,2.99,ml,23,81,0.09194,0.19,uu,uu60433862,2021-04-25T14:53:32.129Z,"3 km N of Enoch, Utah",earthquake,0.41,2.78,0.156,23,reviewed,uu,uu
2021-04-25T12:29:28.086Z,17.1826,-46.3416,10,4.9,mb,,67,13.494,0.49,us,us6000e4mz,2021-04-25T12:47:57.040Z,"northern Mid-Atlantic Ridge",earthquake,7.7,1.8,0.066,73,reviewed,us,us
2021-04-25T12:08:41.000Z,38.8018341,-122.7728348,0.74,0.85,md,18,75,0.01032,0.03,nc,nc73554360,2021-04-25T12:39:07.418Z,"3km NNW of The Geysers, CA",earthquake,0.21,0.41,0.02,3,automatic,nc,nc
2021-04-25T12:08:30.620Z,17.9265,-66.8715,11,2.64,md,23,202,0.178,0.13,pr,pr2021115004,2021-04-25T12:32:30.945Z,"6 km SSE of Maria Antonia, Puerto Rico",earthquake,0.51,0.44,0.22,19,reviewed,pr,pr
2021-04-25T11:58:07.016Z,62.5826,-149.2492,32.8,2.2,ml,,,,0.81,ak,ak0215adp4fk,2021-04-25T12:43:56.397Z,"46 km ENE of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T11:51:32.581Z,61.7504,-151.9199,105.4,1.7,ml,,,,0.39,ak,ak0215adnoh7,2021-04-25T11:57:00.038Z,"38 km SW of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-25T11:50:30.808Z,65.0481,-148.7147,18.8,0.6,ml,,,,0.62,ak,ak0215adngmk,2021-04-25T11:53:39.336Z,"31 km ESE of Minto, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-04-25T11:46:50.090Z,33.9745,-116.9805,8.05,0.82,ml,25,53,0.08151,0.18,ci,ci39628367,2021-04-25T11:50:20.473Z,"5km N of Beaumont, CA",earthquake,0.28,1.43,0.133,22,automatic,ci,ci
2021-04-25T11:44:31.130Z,33.3448333,-116.375,12.34,0.76,ml,28,79,0.05746,0.22,ci,ci39628359,2021-04-25T11:48:03.099Z,"10km N of Borrego Springs, CA",earthquake,0.35,0.72,0.173,18,automatic,ci,ci
2021-04-25T11:32:43.640Z,35.6615,-117.4606667,6.25,1.21,ml,13,190,0.07485,0.15,ci,ci39628351,2021-04-25T11:36:13.343Z,"13km SSW of Searles Valley, CA",earthquake,0.55,1.28,0.122,15,automatic,ci,ci
2021-04-25T11:32:09.128Z,60.7983,-151.6923,63.4,1.1,ml,,,,0.92,ak,ak0215adjk2n,2021-04-25T11:38:57.468Z,"25 km WNW of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-04-25T11:10:52.520Z,64.8321,-147.4631,5.6,1.1,ml,,,,0.45,ak,ak0215adexno,2021-04-25T11:13:54.091Z,"4 km NE of Badger, Alaska",earthquake,,1.4,,,automatic,ak,ak
2021-04-25T11:09:15.710Z,44.2043333,-114.9753333,1.07,2.6,ml,13,72,0.004,0.28,mb,mb80499114,2021-04-25T15:01:33.590Z,"3 km WSW of Stanley, Idaho",earthquake,0.63,0.58,0.238,16,reviewed,mb,mb
2021-04-25T11:08:21.949Z,36.3074379,-97.3482666,3.800772905,,,10,125.122036,0.07064752281,1.234668175,ok,ok2021ibdk,2021-04-25T11:09:27.239Z,"5 km WNW of Perry, Oklahoma",earthquake,5.227054524,3.737072645,,,automatic,ok,ok
2021-04-25T11:06:10.990Z,38.1783,-117.8628,11.7,0.9,ml,12,109.32,0.025,0.06,nn,nn00805744,2021-04-25T12:31:23.676Z,"31 km SE of Mina, Nevada",earthquake,,2.7,,,automatic,nn,nn
2021-04-25T11:06:07.580Z,34.0343333,-117.2133333,13.56,1,ml,24,81,0.08382,0.15,ci,ci39628343,2021-04-25T11:09:37.298Z,"4km SW of Redlands, CA",earthquake,0.27,0.61,0.148,24,automatic,ci,ci
2021-04-25T11:02:50.890Z,19.2263336181641,-155.397171020508,31.8999996185303,1.82000005,md,36,162,,0.129999995,hv,hv72440727,2021-04-25T11:06:06.690Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.63,0.689999998,1.80999994,6,automatic,hv,hv
2021-04-25T11:02:18.689Z,65.756,-155.1773,9.3,1,ml,,,,0.27,ak,ak0215add5bg,2021-04-25T11:05:12.930Z,"53 km SW of Hughes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T10:46:24.690Z,38.791832,-122.7616653,2.51,1.06,md,16,75,0.008912,0.02,nc,nc73554350,2021-04-25T11:34:06.040Z,"2km NNW of The Geysers, CA",earthquake,0.3,0.64,0.41,3,automatic,nc,nc
2021-04-25T10:46:08.800Z,19.2093334197998,-155.453338623047,35.7599983215332,1.92999995,md,40,141,,0.119999997,hv,hv72440722,2021-04-25T10:49:36.620Z,"2 km ENE of Pāhala, Hawaii",earthquake,0.56,0.610000014,1.16999996,8,automatic,hv,hv
2021-04-25T10:46:05.100Z,33.6976667,-116.7168333,16.74,0.67,ml,22,90,0.01365,0.17,ci,ci39628335,2021-04-25T10:49:42.041Z,"5km S of Idyllwild, CA",earthquake,0.38,0.57,0.141,20,automatic,ci,ci
2021-04-25T10:42:38.420Z,44.8401667,-111.4681667,8.57,1.3,ml,26,52,0.029,0.28,mb,mb80499094,2021-04-25T13:53:17.510Z,"23 km WNW of Hebgen Lake Estates, Montana",earthquake,0.56,0.88,0.154,8,reviewed,mb,mb
2021-04-25T10:30:30.007Z,36.37005234,-97.34638214,1.920456171,2.08,ml,51,55.6629734,0.08804576844,0.5904894329,ok,ok2021ibcd,2021-04-25T13:32:17.283Z,"10 km NNW of Perry, Oklahoma",earthquake,1.694594068,1.30531277,,38,automatic,ok,ok
2021-04-25T10:23:21.682Z,44.2,-114.9781,3.18,3.5,ml,,71,0.008,0.98,us,us6000e4ly,2021-04-25T14:52:59.968Z,"3 km WSW of Stanley, Idaho",earthquake,1.8,2.8,0.034,116,reviewed,us,us
